Pressure,NLoading,PRel,Loading_kgkg
0.0,0,0.0,0.0
1190.4,73.89949600779825,0.03333333333333333,0.032104625012438597
2380.8,111.31022256318917,0.06666666666666667,0.0483572033436489
3571.2000000000003,135.68304714869504,0.1,0.05894564353719283
4761.6,152.0284165975193,0.13333333333333333,0.06604666567121249
5952.0,163.9325588519216,0.16666666666666666,0.07121825741159435
7142.400000000001,173.14527588430516,0.2,0.07522059628599168
8332.800000000001,180.58222954325765,0.23333333333333336,0.0784514790572403
9523.2,186.7730527379602,0.26666666666666666,0.08114099749676064
10713.6,192.0479353166508,0.3,0.08343259806675149
11904.0,196.62492634707056,0.3333333333333333,0.0854210092015367
13094.400000000001,200.65471438482646,0.3666666666666667,0.08717169548251096
14284.800000000001,204.24532966977512,0.4,0.08873158916940486
15475.2,207.47659615659373,0.43333333333333335,0.09013536868724657
16665.600000000002,210.40900649689078,0.46666666666666673,0.09140931424091989
17856.0,213.0893978011446,0.5,0.09257377357228785
19046.4,215.55470857547715,0.5333333333333333,0.09364479410997487
20236.800000000003,217.83454015478557,0.5666666666666668,0.09463523574894746
21427.2,219.95294832309716,0.6,0.09555554919546615
22617.600000000002,221.92972443395396,0.6333333333333334,0.0964143325323093
23808.0,223.7813282065126,0.6666666666666666,0.09721873645927706
24998.4,225.52157493334835,0.7000000000000001,0.09797476284122004
26188.800000000003,227.16214166497522,0.7333333333333334,0.09868748461297888
27379.2,228.7129319613292,0.7666666666666667,0.09936120424067592
28569.600000000002,230.182323930127,0.8,0.09999956147858678
29760.000000000004,231.57732084999725,0.8333333333333335,0.10060559880529893
30950.4,232.90362692004123,0.8666666666666667,0.10118179433207207
32140.800000000003,234.16567960236054,0.9000000000000001,0.10173007585360677
33331.200000000004,235.3666789379959,0.9333333333333335,0.10225183358395304
34521.600000000006,236.50865635965465,0.9666666666666668,0.10274795005125827
35712.0,237.5926161877172,1.0,0.1032188615687715
71424.0,249.80531222664573,2.0,0.10852450027947827
107136.0,251.04603245324387,3.0,0.10906351420747688
142848.0,251.40278784879473,4.0,0.10921850170825924
178560.0,251.56702757773658,5.0,0.10928985341151397
214272.0,251.66082588023815,6.0,0.10933060280076959
249984.0,251.72135602424513,7.0,0.10935689929371303
285696.0,251.76360819324805,8.0,0.1093752551704792
321408.0,251.79475938020593,9.0,0.1093887883774698
357120.0,251.81866965078586,10.0,0.10939917586740389
392832.0,251.83759755065998,11.0,0.10940739883454927
428544.0,251.8529517785205,12.0,0.10941406926878017
464256.0,251.86565619334687,13.0,0.10941958852799082
499968.0,251.87634171847316,14.0,0.10942423070819195
535680.0,251.8854538418939,15.0,0.109428189345548
571392.0,251.89331604046302,16.0,0.10943160497015264
607104.0,251.90016885246726,17.0,0.1094345820805737
642816.0,251.9061948457509,18.0,0.10943719999091342
678528.0,251.91153508193335,19.0,0.10943951998346246
714240.0,251.91630027306567,20.0,0.10944159015555673
